Ship Name,Ship Type,GRT,Date,U-Boat,Loss Type,Position,Location,Route,Cargo,Casualties
Activity,Fishing vessel (smack),56,07/24/15,UB 12 (Hans Nieland),Sunk,Stopped and scuttled 30 miles ENE of Lowestoft,,,,0
Acton,,207,03/22/17,,Sunk,Engl. Channel end of the month,,,,0
Ada,Fishing vessel (smack),24,02/01/17,U 55 (Wilhelm Werner),Sunk,Stopped and scuttled  40 miles NNW of Trevose Head,,,,0
Adalands,Steamer,1577,03/07/17,UC 44 (Kurt Tebbenjohanns),Sunk,8 miles SW of Fastnet,,Rufisque - Hull,groundnuts,0
Adalia,Steamer,3847,07/29/17,U 94 (Alfred SaalwÃ¤chter),Sunk,"53 miles NE of Muckle Flugga. 61.29N, 00.42E per KTB","61° 38'N, 0° 00'E",Arkhangelsk - London,timber and passengers,1
Adamantios Korais,Steamer,2947,05/18/16,U 34 (Claus RÃ¼cker),Sunk,Captured and scuttled 30 miles SSE of Toulon,"42° 38'N, 6° 13'E",Barry - Savona,,0
Adams,Steamer,2223,10/17/17,U 62 (Ernst Hashagen),Sunk,Torpedoed 6 miles SExE of the Lizard,"49° 54'N, 5° 04'W",Tyne - Saint Nazaire,coal,0
Adamton,Steamer,2304,04/08/16,U 22 (Bruno Hoppe),Sunk,Sunk by gunfire about 15 miles N of Skerryvore,"56° 32'N, 7° 26'W",? - Barry Roads,in ballast,1
Adansi,Steamer,2644,05/06/17,U 21 (Otto Hersing),Sunk,80 miles W1/2N of Fastnet,"50° 40'N, 11° 05'W",Sierra Leone - Liverpool,foodstuffs,0
Addah,Steamer,4397,06/15/17,UC 69 (Erwin WaÃner),Sunk,35 miles SW of Penmarch,"47° 24'N, 5° 00'W",Montreal - Cherbourg,general cargo,9
Addax,Fishing vessel,40,01/29/18,UB 55 (Ralph Wenninger),Sunk,Stopped and sunk 14 miles SExE of Berry Head,"50° 21'N, 3° 18'W",,,0
Adela,steamer,685,12/27/17,U 100 (Degenhart von LoÃ«),Sunk,"12 miles NW Skerries, Anglesey",,Dublin - Liverpool,general cargo,24
Adelaide,Sailing vessel,180,03/04/17,U 48 (Berndt BuÃ),Damaged,Stopped 42 miles NWxN of Cherburg. Attempts to sink the sailing vessel via gunnery failed and she towed into Brixham.,,,in ballast,0
Adelia,Sailing vessel,170,06/15/16,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,Stopped and sunk in Pionbino Channel at 5:35am,"43° 00'N, 10° 05'E",Alicante - Civitavecchia,in ballast,
Adelphotis,Sailing vessel,26,09/18/18,k.u.k. U27 (Josef Holub),Sunk,Med. Sea,"36° 14'N, 25° 25'E",,,0
Adenwen,Steamer,3798,03/11/15,U 29 (Otto Weddigen),Damaged,20 miles NW of the Casquets,,Rouen - Barry,in ballast,0
Adenwen,Steamer,3798,03/25/17,UC 65 (Otto Steinbrinck),Sunk,Torpedoed 6 miles SExE of the North Aklow LV,"52° 36'N, 5° 37'W",Cienfuegos via Queenstown - Liverpool,sugar,10
Adieu Va,Sailing vessel,64,03/15/17,UB 18 (Claus Lafrenz),Sunk,NE Cap Barfleur,,,,
Adine,Steamer,2235,03/13/18,UB 34 (Hellmuth von Ruckteschell),Sunk,"Torpedoed 8 miles E of The Heugh, Hartlepool","54° 42'N, 0° 58'E",Rouen - Tyne,ballast,0
Admiral,Tug,102,07/02/18,UB 40 (Hans Joachim Emsmann),Sunk,Stopped and sunk by gunnery 2 miles N of Flamborough Head with French lighter NORD (550t),,North Shields - Dieppe,,0
Admiral Cochrane,Steamer,6565,01/22/18,UB 31 (Thomas Bieber),Damaged,Torpedoed 3 miles S28Â°E of Berry Head,"50° 21'N, 3° 25'W",Havre & Portland - Plymouth,in ballast,0
Adolf,Sailing vessel,169,06/05/15,U 19 (Constantin Kolbe),Sunk,30 miles off Rattray Head,,Middelsbrough - Arkhangelsk,salt,
Adolph Andersen,Steamer,981,11/17/17,UC 77 (Reinhard von Rabenau),Sunk,Torpedoed about 6 miles off Brest,"48° 30'N, 4° 55'W","Newport, Mon. - Nantes",coal,1
Adolph Meyer,Steamer,807,01/12/18,UC 58 (Karl Vesper),Sunk,Presumed mined SE of Peterhead. ,,Methil - GÃ¶teborg via Lerwick,coal,17
Adour,Steamer,1940,12/09/17,U 64 (Robert Moraht),Sunk,"2 miles from the Isla Hormiga LH, east of Cabo de Palos","37° 40'N, 0° 34'W",Valencia - Liverpool,fruit,2
Adria 1,Steamer,1809,07/19/18,UB 50 (Heinrich Kukat),Sunk,Torpedoed in the Strait of Sicily,"37° 10'N, 11° 12'E",Palermo - Tunis,cotton,
Aduatiek,Steamer,2221,02/12/16,UC 4 (Friedrich Moecke),Sunk,"Mined off Aldeburgh Napes or 52ÃÂ°11Ã¢â¬â¢N, 01ÃÂ°49Ã¢â¬â¢E","52° 08'N, 1° 44'E",Newcastle - Savona,Coal,
Advance,Fishing vessel (smack),44,07/01/17,UC 63 (Karsten von Heydebreck),Sunk,Stopped and scuttled 5 miles SE of the South Owers Buoy,,,,0
Adventure,Drifter,50,05/18/17,UB 20 (Hermann Glimpf),Sunk,Stopped and sunk by gunnery 25 miles SW of Bishop Rock,,,,0
Ãgir,Steamer,427,11/03/16,U 22 (Karl Scherb),Sunk,"off Raumo (6 miles off Santakari Beacon, Gulf of Bothnia)",,Stockholm - Raumo,general cargo,0
HMY Aegusa,Navy yacht,1242,04/28/16,U 73 (Gustav SieÃ),Sunk,Mined off Malta,,,,6
Asra,Sailing vessel,1975,05/05/17,U 58 (Kurt Wippern),Sunk,Stopped and sunk by gunnery about 140 miles WNW of Tory Island,"55° 40'N, 12° 10'W",Belfast â New York,in ballast,0
Afram,Sailing vessel,43,07/13/17,UC 45 (Hubert Aust),Sunk,Stopped and scuttled 90 to 100 miles NE of Girdle Ness,,Aberdeen - Seydisfjord,salt,
Afric,Passenger steamer,11999,02/12/17,UC 66 (Herbert Pustkuchen),Sunk,Torpedoed 12 miles SSW of the Eddystone LH,"49° 59'N, 4° 18'W",Liverpool - Devonport & Sydney,general cargo,5
Africa,Steamer,1038,09/16/15,UC 6 (Matthias Graf von Schmettow),Sunk,Mined 1.5 miles off Kingstown. Beached at Deal but a total loss.,,London - Boulogne,general cargo,2
African Prince,Steamer,4916,07/21/17,U 66 (Gerhard Muhle),Sunk,60 miles NNW of Tory Island,"56° 00'N, 9° 30'W",Liverpool - Newport,"china clay, etc.",0
African Transport,Steamer,4482,06/25/18,UB 88 (Reinhard von Rabenau),Sunk,Torpedoed 3 miles N of Whitby,,Tyne - Falmouth,coal,3
Afrique,Steamer,2457,08/04/17,UC 71 (Reinhold Saltzwedel),Damaged,Torpedoed off Belle Ile,,Blyth - St. Nazaire,,
Afrique,Steamer,2457,06/12/18,UC 40 (Hermann Menzel),Sunk,6 miles NW of Whitby,,Bilbao - Middlesbrough,,12
Arfon,Navy Trawler,227,04/30/17,UC 61 (Georg Gerth),Sunk,"Mined off St. Albans Head 50 29.844N, 002 10.445W","50° 30'N, 2° 10'W",,,10
Afton,Passenger steamer,1156,02/15/17,UC 65 (Otto Steinbrinck),Sunk,23 miles NxE of Strumble Head,"52° 24'N, 5° 09'W",Bristol - Belfast & Glasgow,general cargo,0
Agamemnon Ii,Navy Trawler,225,07/15/15,UC 1 (Egon von Werner),Sunk,Mined off the Shipwash LV,,,,9
HMT Agate,Navy Trawler,248,03/14/18,UC 71 (Walter Warzecha),Sunk,Mined off the Royal Sovereign LV,,,,4
Agatina,Sailing vessel,201,04/04/18,UC 25 (Karl DÃ¶nitz),Sunk,Stopped and sunk by gunnery off Sicily,,Trapani - Piraeus,salt,
Agberi,Steamer,4821,12/25/17,U 87 (Rudolf von Speth-SchÃ¼lzburg),Sunk,"18 miles NW1/2N of Bardsey Island, St George Channel",,Dakar - Liverpool,general cargo & passengers,0
Agder,Steamer,305,12/10/16,U 24 (Walter Remy),Sunk,81 miles W of Udsire,,Stavanger - Newcastle,canned fish,0
Agenda,Sailing vessel,226,07/27/16,UB 23 (Ernst Voigt),Sunk,off the Tyne Estuary,"55° 15'N, 0° 40'W",Fredrikshald â Hartlepool,pit props,0
Agenoria,Steamer,2977,11/28/17,U 96 (Heinrich JeÃ),Damaged,3.5 miles SSE of the Mew Island LH,,Archangelsk - Nantes,timber,1
Aghia Arene,Sailing vessel,16,01/24/18,UC 23 (Hans Georg LÃ¼bbe),Sunk,off Skyros,"39° 09'N, 25° 17'E",,,
Aghia Paraskevi,Steamer,2795,06/24/17,UC 65 (Otto Steinbrinck),Sunk,23 miles off Cape Ferrat,,Bougie - Cardiff,ore,
Aghia Tom Aghion,Sailing vessel,30,05/29/17,UC 74 (Wilhelm Marschall),Sunk,N of Crete,,,,
Aghion Spiridon,Sailing vessel,21,10/13/18,UC 23 (Hans Georg LÃ¼bbe),Sunk,"Gulf of Salonica, Aegean sea",,,,
Aghios Dimitrios,Sailing vessel,50,01/25/18,UC 22 (Carl BÃ¼nte),Sunk,Aegean Sea,,,,
Aghios Georgios,Sailing vessel,16,06/17/17,UC 22 (Heino von Heimburg),Sunk,30 miles W of Malta,"35° 37'N, 13° 49'E",,,
Aghios Gerasimos,Sailing vessel,85,10/23/18,UC 74 (Hans SchÃ¼ler),Sunk,S Crete,"34° 00'N, 25° 31'E",Alexandria - Crete,,
Aghios Johannes,Sailing vessel,14,01/24/18,UC 23 (Hans Georg LÃ¼bbe),Sunk,off Skyros,"39° 09'N, 25° 18'E",,,
Aghios Johannis,Sailing vessel,20,05/05/18,U 33 (Gustav SieÃ),Sunk,N Crete,,,,
Aghios Nicolaos,Sailing vessel,,09/20/18,k.u.k. U27 (Josef Holub),Sunk,,"36° 57'N, 22° 05'E",,,0
Aghios Nikolaos,Steamer,2231,05/04/17,UB 38 (Wilhelm Amberger),Sunk,16 miles SE Barfleur,"49° 43'N, 0° 54'W",Oran - Boulogne,iron ore,0
Aghios Spyridon,Steamer,1618,02/12/17,UC 47 (Paul Hundius),Sunk,5 miles off the Pendeen LH,"50° 10'N, 5° 48'W",Swansea - Naples,coal,
Agia,Sailing vessel,20,04/05/17,UC 22 (Heino von Heimburg),Sunk,off the North African coast,,,,
Agia Trias,Sailing vessel,14,07/03/18,k.u.k. U27 (Josef Holub),Sunk,Med. Sea,"36° 05'N, 22° 10'E",,,0
Agile,Navy Trawler,246,04/27/17,UC 11 (Benno von Ditfurth),Sunk,Mined 3 miles E of the Sunk LV,,,,3
Agios Amma,Sailing vessel,16,09/18/18,k.u.k. U27 (Josef Holub),Sunk,,"36° 14'N, 25° 25'E",,,0
Agios Andreas,Sailing vessel,68,09/03/17,UC 74 (Wilhelm Marschall),Sunk,Aegean Sea,,,,
Agios Constantinos,Sailing vessel,14,07/11/18,k.u.k. U27 (Josef Holub),Sunk,,"35° 38'N, 25° 12'E",,,0
Agios Dimitrios,Sailing vessel,40,05/06/18,k.u.k. U27 (Josef Holub),Sunk,,"35° 42'N, 25° 25'E",,,0
Agios Dionysios,Sailing vessel,58,05/20/18,k.u.k. U32 (Otto Kasseroller),Sunk,Med. sea,"36° 39'N, 22° 18'E",,,0
Agios Georgios,Sailing vessel,17,07/10/18,k.u.k. U27 (Josef Holub),Sunk,,"35° 47'N, 25° 19'E",,,0
Agios Loukis,Sailing vessel,11,07/10/18,k.u.k. U27 (Josef Holub),Sunk,,"35° 45'N, 25° 19'E",,,0
Agios Nicolaos,Sailing vessel,119,09/23/17,UC 38 (Hans Hermann Wendlandt),Sunk,Stopped and sunk by gunnery W of Crete,"35° 33'N, 23° 28'E",,,
Agios Nicolas,Sailing vessel,113,09/14/18,k.u.k. U27 (Josef Holub),Sunk,10 miles SE of Paphos,,,,0
Agios Spiridion,Sailing vessel,58,09/19/18,k.u.k. U27 (Josef Holub),Sunk,,"36° 04'N, 24° 00'E",,,0
Agne,Steamer,1010,08/09/17,U 60 (Karlgeorg Schuster),Sunk,Torpedoed in the North Sea,"60° 46'N, 3° 32'E",GÃ¶teborg - Hull,general cargo and timber,0
Agnes,Trawler,125,01/23/17,U 44 (Paul WagenfÃ¼hr),prize,North Sea,,,,0
Agnes Cairns,Sailing vessel,146,04/26/17,UC 65 (Otto Steinbrinck),Sunk,Stopped and scuttled 8 miles NE of Alderney Island,,Portsmouth - Guernsey,coal,0
Agnes G. Holland,Trawler,100,08/05/18,U 156 (Richard Feldt),Sunk,West Atlantic,,,,
Agnese Madre,Sailing vessel,235,02/08/18,U 64 (Robert Moraht),Sunk,Stopped and scuttled S of Sardinia.,"38° 24'N, 8° 10'E",,,
Agnete,Steamer,1127,04/24/18,,Sunk,4 miles SxW of Start Point,,Newport - Rouen,coal,12
Agragas,steamer,850,05/26/17,UC 73 (Kurt Schapler),Sunk,Syrte,,,,0
Agricola,Sailing vessel,65,09/12/17,U 19 (Johannes SpieÃ),Sunk,Stopped and sunk 15 miles WNW of Lundy Island,,Garston - Cherbourg,coal,0
Aguila,Passenger steamer,2114,03/27/15,U 28 (Georg-GÃ¼nther von Forstner),Sunk,47 miles SW of the Smalls,,"Liverpool - Lisbon, Madeira & Canary Islands",general cargo & passengers,8
Aida,Sailing vessel,93,10/19/18,U 43 (Johannes Kirchner),Sunk,off Brest,,Penarth - Oporto,coal,
Aigburth,Steamer,824,12/05/17,UB 75 (Franz Walther),Sunk,"2 miles NExE South Cheek, Robin Hood Bay",,Tyne - TrÃ©port,coal,11
Aigle,Sailing vessel,172,04/26/17,UC 47 (Paul Hundius),Sunk,Stopped and scuttled 11 miles SW of Start Point,,St. Malo - Briton Ferry,scrap steel,
Aiglon,Sailing vessel,280,12/03/16,UC 21 (Reinhold Saltzwedel),Sunk,Stopped and sunk 35 miles N30Â°W of Ushant,,Cardiff - Lorient,,
Ailsa,Steamer,876,06/18/15,U 17 (Hans Walther),Sunk,Captured and scuttled 12 miles SE Arbroath.,,Trondheim-Leith,wood,0
Ailsa Craig,Steamer,601,04/15/18,UB 80 (Max Viebeg),Sunk,13 miles WxN of Portland Bill,"50° 30'N, 2° 48'W",Cardiff - Granville,coal,0
Aimee Maria,Sailing vessel,327,02/04/17,U 53 (Hans Rose),Sunk,Stopped and sunk off the Scilly Isles,"49° 27'N, 6° 40'W",Lisbon - St. Servan,,
Ainsdale,Sailing vessel,1825,02/05/17,U 54 (Volkhard von Bothmer),Damaged,off southwestern Ireland,"50° 00'N, 13° 50'W",Buenos Ayres-Queenstown,Maize,0
Airedale,Steamer,3044,04/10/18,UC 52 (Hellmuth von Doemming),Damaged,Torpedoed S of Messina harbor,"38° 06'N, 15° 36'E",Barry & Bizerta - Taranto,coal,0
Aislaby,Steamer,2692,12/27/16,U 46 (Alfred SaalwÃ¤chter),Sunk,"10 miles NE of Estaca Pt, El Ferrol. 43.58N, 7.30W per KTB","43° 51'N, 7° 28'W",Lisbon - Bilbao,in ballast,0
Aizcorri Mendi,Steamer,2272,10/22/17,UC 48 (Helmut Lorenz),Damaged,Mined 15 miles NW of Brehat Island (Mine barrage 478),,Newcastle - Bilbao & Barcelona,coal,
Ajax,Steamer,1018,12/25/17,U 104 (Kurt Bernis),Sunk,Torpedoed off Audierne,"47° 53'N, 4° 32'W",Bilbao - Cardiff,iron ore,11
Akaroa,Sailing vessel,1348,09/01/17,U 19 (Johannes SpieÃ),Sunk,70 miles W of the Casquets,"49° 21'N, 4° 25'W",Philadelphia â Rouen,machine oil and grease,0
Akassa,Passenger steamer,3919,08/13/17,UC 33 (Alfred Arnold),Sunk,8 miles SE of Galley Head,"51° 23'N, 8° 47'W",Liverpool-West Africa,general cargo & passengers,7
Ala,Sailing vessel,359,02/17/17,U 39 (Walter Forstmann),Sunk,Straits of Sicily,,,,
Alabama,Steamer,891,02/11/16,UC 1 (Egon von Werner),Sunk,Mined 5 miles N of the Kentish Knock LV,"51° 35'N, 1° 40'E",Le Havre - Newcastle,in ballast,0
Alacrity,steamer,1080,03/31/16,UB 13 (Arthur Metz),Sunk,Torpedoed off Southwold.,,Le Havre - Seaham Harbour,in ballast,14
Aladdin,Steamer,753,09/08/17,UB 34 (Hellmuth von Ruckteschell),Sunk,5 miles NxW of Flamborough Head,,Dunston - TrÃ©port,coal,1
Alamance,Steamer,4455,02/05/18,UB 57 (Johannes Lohs),Sunk,"Torpedoed off Ireland, 4 miles E of Maidenâs Head",,Baltimore - Liverpool,general cargo,6
Alaska,Fishing vessel,90,06/05/17,U 28 (Georg Schmidt),Sunk,Stopped and scuttled 30 miles NE of VardÃ¶,"71° 25'N, 35° 49'E",,,0
Alastair,Steamer,366,11/06/15,UC 3 (Erwin WaÃner),Sunk,Mined 4 miles E of Southwold,,London - Tyne,burnt ore,7
Alaunia,Passenger steamer,13405,10/19/16,UC 16 (Egon von Werner),Sunk,Mined 2 miles SÂ½W  of the Royal Sovereign LV,,New York - London,general cargo,2
Alavi,Steamer,3627,10/13/17,U 35 (Lothar von Arnauld de la PeriÃ¨re),Sunk,"Shelled, stopped, and then scuttled 6m NE cape Palos","37° 40'N, 0° 34'W",Genoa-Carthagena,in ballast,13
Alba,Steamer,1639,04/08/17,U 52 (Hans Walther),Sunk,"about 3 miles off Garraf, Catalan coast, SW of Barcelona","41° 05'N, 1° 53'E",Swansea - Marseille & Italy,coal,
HMS Albacore,Destroyer,440,03/09/17,UC 44 (Kurt Tebbenjohanns),Damaged,Mined off Kirkwall,,,,17
Albatross,Trawler,158,09/24/16,U 57 (Carl-Siegfried Ritter von Georg),Sunk,Stopped and sunk 20 miles E of Flamborough Head,,,,0
Alberdina,Sailing vessel,100,05/23/17,UC 64 (Ernst MÃ¼ller-Schwarz),Sunk,Stopped and scuttled 25 miles NW of the Maas LV,,St ValÃ©ry - Rotterdam,stones and plaster,0
Albert Cornelis,Trawler,,07/05/17,,Sunk,,,,,
Albert Watts,Tanker,3302,11/28/17,UC 35 (Hans Paul Korsch),Sunk,"Mined near Villa, Riviera coast reached port at Genoa but total loss",,,oil,1
Alberta,Navy Trawler,209,04/14/16,UC 7 (Georg Haag),Sunk,Mined off Grimsby,"53° 45'N, 0° 51'E",,,7
Albertha,Sailing vessel,170,08/15/17,U 62 (Ernst Hashagen),Sunk,Stopped and sunk by gunnery SW of the Hebrides,"57° 00'N, 9° 54'W",Liverpool - Copenhagen,potash,0
Albertine Beatrice,Sailing vessel,1379,06/15/17,U 82 (Hans Adam),Sunk,Sunk by gunnery about 200 miles SW of Fastnet,"48° 02'N, 10° 57'W",Soerabaja - Rotterdam,tobacco,
Alberto Treves,Steamer,3838,05/05/18,U 38 (Clemens Wickel),Damaged,,"37° 26'N, 0° 06'E",Palermo - Gibraltar,general cargo,
Alberto Treves,Steamer,3838,10/03/18,U 155 (Ferdinand Studt),Sunk,300 miles from the American coast,,Carthagena - New York,,
Alberto Verderame,Sailing vessel,195,12/04/17,UC 35 (Hans Paul Korsch),Sunk,Stopped and sunk by gunnery in the Gulf of Genoa,"39° 57'N, 9° 48'E",,,
Albina,Sailing vessel,187,02/24/17,UC 38 (Alfred Klatt),Sunk,7 miles E of Siniscola,"40° 39'N, 9° 58'E",,,
Albion,Fishing vessel,22,07/07/18,UB 40 (Hans Joachim Emsmann),Sunk,Stopped and sunk 25 miles E3/4N of Spurn Point,,,,0
Albion Ii,Navy Trawler,240,01/13/16,UC 5 (Herbert Pustkuchen),Sunk,Mined off St. Catherineâs Point,"50° 38'N, 1° 34'W",,,0
Albis,Steamer,1381,08/14/15,U 25 (Otto WÃ¼nsche),Sunk,"60 miles WNW of Stat, Norway","62° 20'N, 3° 15'E",Archangelsk - Immingham,pit props,0
USS Alcedo,Navy Yacht,983,11/05/17,UC 71 (Ernst Steindorff),Sunk,Torpedoed off Penmarch,"47° 23'N, 4° 44'W",,,21
Alcide Marie,Fishing vessel,26,03/17/17,UC 70 (Werner FÃ¼rbringer),Sunk,off Gironde,,,,
Alcides,Sailing vessel,2704,07/31/17,U 54 (Kurt Heeseler),Sunk,NW of Ireland,"55° 05'N, 17° 05'W","Liverpool â Savannah, GA",in ballast,23
Alcinous,Steamer,6743,03/31/18,UB 57 (Johannes Lohs),Damaged,Torpedoed 5 miles N20Â°W of Fairlight Church,,London - Boston,general cargo,0
Alcyon,Sailing vessel,163,09/07/16,UB 39 (Werner FÃ¼rbringer),Sunk,"Set on fire 30 miles N50Â°W of the Creach LH, Ushant","48° 50'N, 5° 20'W",La Rochelle - Cardiff,pit props,0
Alcyone,Motor vessel,149,08/01/17,UB 31 (Thomas Bieber),Sunk,Stopped and sunk by gunnery 45 miles NNW of Roches Douvres,,Cardiff - St. Brieuc,coal,0
Aldebaran,Steamer,1683,10/01/18,UB 112 (Wilhelm Rhein),Sunk,Torpedoed 7 miles off Wolf Rock,"49° 54'N, 5° 59'W",Marbella - Ayr,ore,19
Aldershot,Steamer,2177,09/23/18,UB 113 (Ulrich Pilzecker),Sunk,Torpedoed 5 miles ESE of Dartmouth,"50° 16'N, 3° 28'W",Glasgow - Nantes,coal & machinery,1
Aleda May,Motor fishing vessel,31,08/10/18,U 117 (Otto DrÃ¶scher),Sunk,Stopped and sunk in the western Atlantic,"41° 45'N, 67° 10'W",,,0
